OACI,CIAD,Nome,Município,Longitude,Latitude,Operação,Altitude,Rampa de Aproximação,Formato da Área de Pouso,Dimensões,Resistência,Superfície,Validade do Registro,Portaria de Registro,Link
SIEP,SP0484,Riachuelo/Matriz,SÃO PAULO,"046°38'47,0""O","23°30'04,0""S",VFR Diurna/Noturna,,11,Quadrado,25m x 25m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SSPK,SP0767,Panco 8,SÃO PAULO,"046°35'07,0""O","23°25'51,0""S",VFR Diurna,,21 36,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SWEL,SP0849,Limão,SÃO PAULO,"046°40'50,3""O","23°30'20,1""S",VFR Diurna/Noturna,,3,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDJU,SP0367,Hospital São Luiz,SÃO PAULO,"046°40'23,0""O","23°35'26,0""S",VFR Diurna/Noturna,,13,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDTG,SP0423,Edifício Atrium IV,SÃO PAULO,"046°41'12,0""O","23°35'35,0""S",VFR Diurna/Noturna,,2 19,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDJW,SP0368,Rede D'Or São Luiz Morumbi,SÃO PAULO,"046°42'12,0""O","23°35'27,0""S",VFR Diurna/Noturna,,4 25,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDKD,SP0370,Condomínio América Business Park,SÃO PAULO,"046°42'11,0""O","23°37'07,0""S",VFR Diurna/Noturna,,5,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SJWC,SP0672,Cometa Vila Maria,SÃO PAULO,"046°34'45,0""O","23°31'02,0""S",VFR Diurna/Noturna,,20,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SJWJ,SP0673,HPE,SÃO PAULO,"046°42'11,0""O","23°40'12,0""S",VFR Diurna/Noturna,,34,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SJXK,SP0677,Eldorado,SÃO PAULO,"046°41'51""O","23°34'23,0""S",VFR Diurna/Noturna,,29,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,25/05/2021,Aguardando dados,
SJXP,SP0678,Alice Maria Sampaio Ferreira,SÃO PAULO,"046°41'39,0""O","23°36'31,0""S",VFR Diurna/Noturna,,32,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2012-0543,https://pergamum.anac.gov.br/arquivos/PA2012-0543.pdf
SJZU,SP0686,Seculum,SÃO PAULO,"046°41'02,0""O","23°35'02,0""S",VFR Diurna/Noturna,,3,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,PA2012-2010,https://pergamum.anac.gov.br/arquivos/PA2012-2010.pdf
SNBQ,SP0692,Bela Cintra,SÃO PAULO,"046°39'31,0""O","23°33'14,0""S",VFR Diurna/Noturna,,27,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2014-1763,https://pergamum.anac.gov.br/arquivos/PA2014-1763.pdf
SNDK,SP0694,C.T.O. Itaú,SÃO PAULO,"046°36'56,0""O","23°33'28,0""S",VFR Diurna/Noturna,,4 22,Quadrado,19.5m x 19.5m,,Concreto,28/02/2022,,
